	utterance	feats
1981	i will check at other places	i places i check  commissive
1982	lease do	lease   socialobligation
1983	i can not see anything without them	i anything i see anything inform
1984	here you go	you go  interactionstructuring
1985	they were in the kitchen	kitchen they were  inform
1986	thank you so much	you socialobligation
1987	i would like to ask if you took your morning pills	i morning pills i like you took pills question
1988	ahh 	ahh    turnmanagement
1989	yes yes	yes yes   answer
1990	thanks for reminding	thanks   socialobligation
1991	i will do that immediately	i i do that commissive
1992	obo	socialobligation
1993	can you help me getup from this chair	chair you help me getup  interactionstructuring
1994	yes	yes   commissive
1995	can you press the button here	button you press button directive
1996	can i hold your arm	i arm i hold arm question
1997	i am sorry but	i but i am  contradict
1998	but	but   contradict
1999	just to remind you we have a separate arm that comes out when you press the lifting button here on my screen 	a arm button screen  we have that comes you press you arm button inform
2000	by the way	way   interactionstructuring
2001	are you charged enough	you charged  question
2002	yes 	yes    commissive
2003	you charged me yesterday evening	yesterday evening you charged me answer
2004	my charging is 95 still 	charging  charging is  inform
2005	great 	commissive
2006	so where were we	so we were  question
2007	you wanted to get up from the chair 	chair  you wanted  answer
2008	for which you have to select the lift option on my screen	lift option screen you have option inform
2009	kay	kay   commissive
2010	done	inform
2011	ow hold this hand	hand  hand directive
2012	you know its lot of work to just get up	lot work you know lot inform
2013	can i help you in any other way	i way i help you question
2014	ot for now 	answer
2015	 hello obo 	socialobligation
2016	i am home	i i am  interactionstructuring
2017	 can you help me with organizing these groceries 	groceries  you help me groceries question
2018	 hello	hello   socialobligation
2019	 yes sure	yes   answer
2020	 here take the bag	bag  bag directive
2021	 yes sure	yes   commissive
2022	do you remember if i have anymore outdoors to do	i you remember i have  question
2023	i did not quite understand you 	i  i understand you negativefeedback
2024	can you rephrase it again for me	you rephrase it question
2025	can you tell me the schedule for rest of the evening	schedule rest evening you tell schedule directive
2026	yes absolutely 	yes    commissive
2027	you have to take your blood pressure and cholesterol pills 	blood pressure and cholesterol pills  you have pressure inform
2028	then you have to	you have  turnmanagement
2029	prepare and eat your dinner	and dinner  dinner inform
2030	and finally	and   turnmanagement
2031	your anxiety pills before you are off to sleep 	anxiety pills sleep  you are  inform
2032	 sounds great 	commissive
2033	 thanks a lot	thanks a lot   socialobligation
2034	hello 	hello    socialobligation
2035	i would like to book an appointment with a physiotherapist on wednesday 	i appointment a physiotherapist  i like appointment interactionstructuring
2036	 what time would suit you on wednesday 	what time  time suit you question
2037	 wait a moment 	a moment    turnmanagement
2038	 i just remembered i have something important on wednesday	i i something i remembered i have something inform
2039	 can it be on thursday	it be  question
2040	 kay thursday	kay    answer
2041	but we have only morning slots from 10 to 12	but morning slots we have slots contradict
2042	 kay no problem 	kay problem    commissive
2043	can i book the slot 1000 to 1100 on thursday	i slot i book slot question
2044	 absolutely 	answer
2045	 so i have booked the appointment with physiotherapist on thursday at 10 	i appointment physiotherapist  i booked appointment inform
2046	 confirm if its correct	correction
2047	 yes its correct	yes    commissive
2048	thanks a lot	thanks a lot   socialobligation
2049	 today you have a skype call with your grand kids at 1530	today a skype call kids you have call inform
2050	 would you like to confirm it	you like it directive
2051	 h 	h    turnmanagement
2052	how can i forget that	i i forget that socialobligation
2053	thanks you are a savior	thanks a savior you are  socialobligation
2054	 so do you confirm it	you confirm it question
2055	 yes absolutely	yes   commissive
2056	 kay	kay   commissive
2057	 it would have been so much better to meet them personally	it been them inform
2058	 so you do nt want to do the call	call you want call question
2059	 o not at all	correction
2060	 why do you prefer meeting personally	you prefer  question
2061	i can see them playing around	i i see them playing  inform
2062	and	and   turnmanagement
2063	i can laugh with them	i i laugh  inform
2064	and	and   turnmanagement
2065	eat with them	inform
2066	 kay	kay   commissive
2067	then i will cancel the call	i call i cancel call commissive
2068	can you confirm that	you confirm that directive
2069	i am saying that	i i saying that negativefeedback
2070	calling is fine 	inform
2071	but meeting them is so much better	but  them contradict
2072	 h	h   turnmanagement
2073	i am sorry 	i  i am  socialobligation
2074	i will let you know when they are active on skype 	i skype  i let you know they are  commissive
2075	 yes please	yes please   socialobligation
2076	 i presume you took shower just now 	i shower  i presume you took shower inform
2077	 did you check that all the taps were closed properly 	taps  you check  question
2078	 what caps are you talking about	caps you talking  negativefeedback
2079	 ot caps taps 	taps    correction
2080	 you were in the bathroom	bathroom you were  inform
2081	and	and   turnmanagement
2082	the water tap is loose 	water tap  tap is  inform
2083	you asked me to remind you every time you come from a shower 	time a shower  you asked you come me you inform
2084	 hh	turnmanagement
2085	now i understand 	i  i understand  commissive
2086	 thanks for taking care of it	thanks care  care socialobligation
2087	 will go and check once more 	and    commissive
2088	 hope you did not forget to switch off the gas burner	gas burner you forget burner inform
2089	 hh 	turnmanagement
2090	i do nt know	i i know  turnmanagement
2091	 can you please check it for me 	please  you check it directive
2092	 you know it can happen	you know it happen  inform
2093	 kay no problem	kay problem   commissive
2094	  was it switched off	it switched  question
2095	  no	commissive
2096	it was running 	it running  answer
2097	but i switched it off	but i i switched it contradict
2098	 how careless of me 	socialobligation
2099	i will try to remember	i i try  commissive
2100	but this aging is cruel you know 	but aging  aging is you know  contradict
2101	can you take care of it in the future	care future you take care directive
2102	 do nt worry	directive
2103	i am here to take care of it 	i care  i am care commissive
2104	 i hear the kettle running 	i kettle  i hear kettle running  inform
2105	do you still want to use it	you want it question
2106	 what kettle 	what kettle    negativefeedback
2107	i just got some hot water for my coffee	i water coffee i got water inform
2108	 did you forget to switch it off	you forget it question
2109	 o	o   answer
2110	i did	i i did  inform
2111	 anyways	turnmanagement
2112	i can go and confirm then if its safely switched off	i and i go its switched  commissive
2113	 kay	kay   commissive
2114	the yoga instructor is waiting downstairs 	instructor  instructor waiting  inform
2115	i ca nt find my stuff 	i stuff  i find stuff inform
2116	i know i had my notes on the table last night 	i i notes table night  i know i had notes inform
2117	 i ll wait for you 	i  i wait  commissive
2118	let s go 	s go  directive
2119	where s your yoga mat 	yoga mat  mat s  question
2120	what 	what    negativefeedback
2121	i came to pick you up for yoga 	i yoga  i came you negativefeedback
2122	i thought we were going to the math session 	i math session  i thought we going  inform
2123	i m not well 	i  i m  inform
2124	you look scared 	you look  inform
2125	you probably have an anxiety attack 	anxiety attack  you have attack inform
2126	when did you start feeling this way 	way  you start  question
2127	do you mean this time or ever 	time or  you mean  question
2128	this time 	time    answer
2129	yesterday 	yesterday    answer
2130	i feel better today	i today i feel  inform
2131	but	but   contradict
2132	i still feel this terrible fear 	i fear  i feel fear inform
2133	i let the doctor know 	i doctor  i let doctor know  commissive
2134	stay here now 	directive
2135	i do nt want to be alone 	i  i want  inform
2136	i sent her a message already 	i a message  i sent message inform
